"cohort","age","alive"
"Ctrl",5,100
"Ctrl",7,100
"Ctrl",9,100
"Ctrl",11,99.5884773662551
"Ctrl",13,99.5884773662551
"Ctrl",15,99.5884773662551
"Ctrl",17,98.3539094650206
"Ctrl",19,97.5308641975309
"Ctrl",21,95.8847736625514
"Ctrl",23,94.6502057613169
"Ctrl",25,91.358024691358
"Ctrl",27,89.7119341563786
"Ctrl",29,87.2427983539095
"Ctrl",31,83.5390946502058
"Ctrl",33,79.8353909465021
"Ctrl",35,76.5432098765432
"Ctrl",37,69.1358024691358
"Ctrl",39,67.9012345679012
"Ctrl",41,61.3168724279835
"Ctrl",43,53.9094650205761
"Ctrl",45,46.0905349794239
"Ctrl",47,41.5637860082305
"Ctrl",49,37.037037037037
"Ctrl",51,31.6872427983539
"Ctrl",53,23.4567901234568
"Ctrl",55,19.7530864197531
"Ctrl",57,16.8724279835391
"Ctrl",59,12.7572016460905
"Ctrl",61,10.6995884773663
"Ctrl",63,7.40740740740741
"Ctrl",65,4.11522633744856
"Ctrl",67,2.88065843621399
"Ctrl",69,1.64609053497942
"Ctrl",71,1.23456790123457
"Ctrl",73,1.23456790123457
"Ctrl",75,0.823045267489712
"Ctrl",77,0.411522633744856
"Ctrl",79,0
"LowC",5,100
"LowC",7,100
"LowC",9,100
"LowC",11,99.6
"LowC",13,99.2
"LowC",15,99.2
"LowC",17,99.2
"LowC",19,98.4
"LowC",21,98
"LowC",23,96.4
"LowC",25,96.4
"LowC",27,94
"LowC",29,91.2
"LowC",31,84.8
"LowC",33,82.8
"LowC",35,77.2
"LowC",37,76
"LowC",39,72.8
"LowC",41,62.8
"LowC",43,55.6
"LowC",45,45.6
"LowC",47,36.8
"LowC",49,28.8
"LowC",51,24.4
"LowC",53,18
"LowC",55,13.6
"LowC",57,11.6
"LowC",59,9.2
"LowC",61,4.8
"LowC",63,3.2
"LowC",65,1.6
"LowC",67,1.6
"LowC",69,0.8
"LowC",71,0.8
"LowC",73,0.4
"LowC",75,0
"ModC",5,100
"ModC",7,100
"ModC",9,99.6168582375479
"ModC",11,98.8505747126437
"ModC",13,98.0842911877395
"ModC",15,98.0842911877395
"ModC",17,98.0842911877395
"ModC",19,97.3180076628352
"ModC",21,96.1685823754789
"ModC",23,94.6360153256705
"ModC",25,93.4865900383142
"ModC",27,91.9540229885057
"ModC",29,90.8045977011494
"ModC",31,87.7394636015326
"ModC",33,83.9080459770115
"ModC",35,81.2260536398467
"ModC",37,77.0114942528736
"ModC",39,73.1800766283525
"ModC",41,64.367816091954
"ModC",43,60.9195402298851
"ModC",45,53.639846743295
"ModC",47,47.8927203065134
"ModC",49,42.1455938697318
"ModC",51,36.7816091954023
"ModC",53,31.8007662835249
"ModC",55,28.735632183908
"ModC",57,24.1379310344828
"ModC",59,17.2413793103448
"ModC",61,14.176245210728
"ModC",63,9.57854406130268
"ModC",65,6.13026819923372
"ModC",67,3.44827586206897
"ModC",69,2.68199233716475
"ModC",71,1.91570881226054
"ModC",73,1.14942528735632
"ModC",75,0.383141762452107
"ModC",77,0
"High",5,100
"High",7,100
"High",9,100
"High",11,100
"High",13,99.5983935742972
"High",15,99.5983935742972
"High",17,99.5983935742972
"High",19,99.5983935742972
"High",21,99.1967871485944
"High",23,99.1967871485944
"High",25,97.1887550200803
"High",27,97.1887550200803
"High",29,95.1807228915663
"High",31,93.9759036144578
"High",33,91.9678714859438
"High",35,90.3614457831325
"High",37,86.7469879518072
"High",39,83.5341365461847
"High",41,78.714859437751
"High",43,74.6987951807229
"High",45,71.4859437751004
"High",47,66.2650602409639
"High",49,62.2489959839357
"High",51,53.4136546184739
"High",53,46.1847389558233
"High",55,39.3574297188755
"High",57,29.3172690763052
"High",59,21.6867469879518
"High",61,18.8755020080321
"High",63,15.6626506024096
"High",65,10.4417670682731
"High",67,6.42570281124498
"High",69,3.6144578313253
"High",71,2.81124497991968
"High",73,2.00803212851406
"High",75,1.20481927710843
"High",77,0.401606425702811
"High",79,0
