"","Yamo","Samo","Hgt"
"1",41.78,237.76,8.2
"2",41.78,237.76,15.6
"3",41.78,237.76,10.5
"4",41.78,237.76,10.9
"5",41.78,237.76,12.1
"6",41.78,237.76,11.7
"7",41.78,237.76,10.2
"8",18.13,237.32,12.6
"9",18.13,237.32,7.3
"10",18.13,237.32,7.6
"11",18.13,237.32,7.2
"12",18.13,237.32,10.1
"13",18.13,237.32,11.4
"14",18.13,237.32,10.1
"15",18.13,237.32,11.9
"16",15.46,245.89,12.8
"17",15.46,245.89,10.5
"18",15.46,245.89,9.6
"19",15.46,245.89,12.7
"20",15.46,245.89,16.4
"21",15.46,245.89,11.7
"22",15.46,245.89,11.8
"23",15.46,245.89,14.4
"24",36.62,208.18,9.2
"25",36.62,208.18,15.2
"26",36.62,208.18,9.5
"27",36.62,208.18,9.9
"28",36.62,208.18,11.2
"29",36.62,208.18,8.5
"30",36.62,208.18,8.2
"31",36.62,208.18,10.1
"32",29.36,256.25,12.6
"33",29.36,256.25,11
"34",29.36,256.25,11.9
"35",29.36,256.25,10.5
"36",29.36,256.25,11.7
"37",29.36,256.25,9.2
"38",29.36,256.25,14.4
"39",29.36,256.25,10.7
"40",22.11,257.69,16
"41",22.11,257.69,12.9
"42",22.11,257.69,12.9
"43",22.11,257.69,11.6
"44",22.11,257.69,17.5
"45",22.11,257.69,9.5
"46",22.11,257.69,11.8
"47",22.11,257.69,11.8
"48",55.72,224.59,9.2
"49",55.72,224.59,14.1
"50",55.72,224.59,15.1
"51",55.72,224.59,13
"52",55.72,224.59,11
"53",55.72,224.59,12.1
"54",55.72,224.59,12.7
"55",28.61,240.71,10.7
"56",28.61,240.71,11.6
"57",28.61,240.71,12.5
"58",28.61,240.71,8.2
"59",28.61,240.71,11.7
"60",28.61,240.71,10.9
"61",28.61,240.71,13.5
"62",28.61,240.71,17.9
"63",27.02,272.1,15.5
"64",27.02,272.1,14
"65",27.02,272.1,12.8
"66",27.02,272.1,8.7
"67",27.02,272.1,10.2
"68",27.02,272.1,10.1
"69",27.02,272.1,12.1
"70",27.02,272.1,13.6
